ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0, send_bit_count, port0, Accumulator, 10384416, 0, 576, 36864, 9, 64, 64
rtr_0, send_packet_count, port0, Accumulator, 10384416, 0, 9, 9, 9, 1, 1
rtr_0, output_port_stalls, port0, Accumulator, 10384416, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port0, Accumulator, 10384416, 0, 10383669, 13735101029231, 10, 300211, 2335703
rtr_0, width_adj_count, port0, Accumulator, 10384416, 0, 0, 0, 0, 0, 0
rtr_0, send_bit_count, port1, Accumulator, 10384416, 0, 4096, 262144, 64, 64, 64
rtr_0, send_packet_count, port1, Accumulator, 10384416, 0, 64, 64, 64, 1, 1
rtr_0, output_port_stalls, port1, Accumulator, 10384416, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port1, Accumulator, 10384416, 0, 10379104, 2310876890708, 65, 45484, 503976
rtr_0, width_adj_count, port1, Accumulator, 10384416, 0, 0, 0, 0, 0, 0
rtr_0, send_bit_count, port2, Accumulator, 10384416, 0, 42048, 24219648, 73, 576, 576
rtr_0, send_packet_count, port2, Accumulator, 10384416, 0, 73, 73, 73, 1, 1
rtr_0, output_port_stalls, port2, Accumulator, 10384416, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port2, Accumulator, 10384416, 0, 10323315, 1991078212419, 74, 11723, 594107
rtr_0, width_adj_count, port2, Accumulator, 10384416, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port0, Accumulator, 10384416, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port1, Accumulator, 10384416, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port2, Accumulator, 10384416, 0, 0, 0, 0, 0, 0
rtr_1, send_bit_count, port0, Accumulator, 10384416, 0, 0, 0, 0, 0, 0
rtr_1, send_packet_count, port0, Accumulator, 10384416, 0, 0, 0, 0, 0, 0
rtr_1, output_port_stalls, port0, Accumulator, 10384416, 0, 0, 0, 0, 0, 0
