ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0, send_bit_count, port0, Accumulator, 10280172, 0, 10496, 2736128, 108, 64, 576
rtr_0, send_packet_count, port0, Accumulator, 10280172, 0, 108, 108, 108, 1, 1
rtr_0, output_port_stalls, port0, Accumulator, 10280172, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port0, Accumulator, 10280172, 0, 10266560, 1889582081546, 109, 2407, 640013
rtr_0, width_adj_count, port0, Accumulator, 10280172, 0, 0, 0, 0, 0, 0
rtr_0, send_bit_count, port1, Accumulator, 10280172, 0, 1856, 118784, 29, 64, 64
rtr_0, send_packet_count, port1, Accumulator, 10280172, 0, 29, 29, 29, 1, 1
rtr_0, output_port_stalls, port1, Accumulator, 10280172, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port1, Accumulator, 10280172, 0, 10277765, 10622723345315, 30, 6059, 2514236
rtr_0, width_adj_count, port1, Accumulator, 10280172, 0, 0, 0, 0, 0, 0
rtr_0, send_bit_count, port2, Accumulator, 10280172, 0, 19136, 7712768, 123, 64, 576
rtr_0, send_packet_count, port2, Accumulator, 10280172, 0, 123, 123, 123, 1, 1
rtr_0, output_port_stalls, port2, Accumulator, 10280172, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port2, Accumulator, 10280172, 0, 10252365, 1269541091399, 124, 2065, 421547
rtr_0, width_adj_count, port2, Accumulator, 10280172, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port0, Accumulator, 10280172, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port1, Accumulator, 10280172, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port2, Accumulator, 10280172, 0, 0, 0, 0, 0, 0
rtr_1, send_bit_count, port0, Accumulator, 10280172, 0, 7616, 487424, 119, 64, 64
rtr_1, send_packet_count, port0, Accumulator, 10280172, 0, 119, 119, 119, 1, 1
rtr_1, output_port_stalls, port0, Accumulator, 10280172, 0, 0, 0, 0, 0, 0
rtr_1, idle_time, port0, Accumulator, 10280172, 0, 10270295, 1821719260413, 120, 1245, 748909
