ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0, send_bit_count, port0, Accumulator, 10189494, 0, 768, 49152, 12, 64, 64
rtr_0, send_packet_count, port0, Accumulator, 10189494, 0, 12, 12, 12, 1, 1
rtr_0, output_port_stalls, port0, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port0, Accumulator, 10189494, 0, 10188498, 12804876480004, 13, 256469, 2605370
rtr_0, width_adj_count, port0, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_0, send_bit_count, port1, Accumulator, 10189494, 0, 4032, 258048, 63, 64, 64
rtr_0, send_packet_count, port1, Accumulator, 10189494, 0, 63, 63, 63, 1, 1
rtr_0, output_port_stalls, port1, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port1, Accumulator, 10189494, 0, 10184265, 2456489479737, 64, 45484, 688236
rtr_0, width_adj_count, port1, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_0, send_bit_count, port2, Accumulator, 10189494, 0, 43200, 24883200, 75, 576, 576
rtr_0, send_packet_count, port2, Accumulator, 10189494, 0, 75, 75, 75, 1, 1
rtr_0, output_port_stalls, port2, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port2, Accumulator, 10189494, 0, 10126719, 1742257740445, 76, 11851, 504135
rtr_0, width_adj_count, port2, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port0, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port1, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port2, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_1, send_bit_count, port0, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_1, send_packet_count, port0, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_1, output_port_stalls, port0, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_1, idle_time, port0, Accumulator, 10189494, 0, 10189494, 103825787976036, 1, 10189494, 10189494
rtr_1, width_adj_count, port0, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_1, send_bit_count, port1, Accumulator, 10189494, 0, 6912, 3981312, 12, 576, 576
rtr_1, send_packet_count, port1, Accumulator, 10189494, 0, 12, 12, 12, 1, 1
rtr_1, output_port_stalls, port1, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_1, idle_time, port1, Accumulator, 10189494, 0, 10180530, 12827072720144, 13, 218953, 2604291
rtr_1, width_adj_count, port1, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_1, send_bit_count, port2, Accumulator, 10189494, 0, 768, 49152, 12, 64, 64
rtr_1, send_packet_count, port2, Accumulator, 10189494, 0, 12, 12, 12, 1, 1
rtr_1, output_port_stalls, port2, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_1, idle_time, port2, Accumulator, 10189494, 0, 10188378, 12805778849344, 13, 255453, 2605360
rtr_1, width_adj_count, port2, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_1, xbar_stalls, port0, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_1, xbar_stalls, port1, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_1, xbar_stalls, port2, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_2, send_bit_count, port0, Accumulator, 10189494, 0, 36288, 20901888, 63, 576, 576
rtr_2, send_packet_count, port0, Accumulator, 10189494, 0, 63, 63, 63, 1, 1
rtr_2, output_port_stalls, port0, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_2, idle_time, port0, Accumulator, 10189494, 0, 10142433, 2577584507823, 64, 12947, 863200
rtr_2, width_adj_count, port0, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_2, send_bit_count, port1, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_2, send_packet_count, port1, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_2, output_port_stalls, port1, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_2, idle_time, port1, Accumulator, 10189494, 0, 10189494, 103825787976036, 1, 10189494, 10189494
rtr_2, width_adj_count, port1, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_2, send_bit_count, port2, Accumulator, 10189494, 0, 4032, 258048, 63, 64, 64
rtr_2, send_packet_count, port2, Accumulator, 10189494, 0, 63, 63, 63, 1, 1
rtr_2, output_port_stalls, port2, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_2, idle_time, port2, Accumulator, 10189494, 0, 10183635, 2456277901881, 64, 46490, 688226
rtr_2, width_adj_count, port2, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_2, xbar_stalls, port0, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_2, xbar_stalls, port1, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
rtr_2, xbar_stalls, port2, Accumulator, 10189494, 0, 0, 0, 0, 0, 0
arbiter_0, packet_latency, , Accumulator, 10189494, 0, 150, 300, 75, 2, 2
arbiter_0, send_bit_count, , Accumulator, 10189494, 0, 4800, 307200, 75, 64, 64
arbiter_0, output_port_stalls, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
arbiter_0, idle_time, , Accumulator, 10189494, 0, 3776803, 352292810019, 76, 38640, 448691
mirandaCPU_0, read_reqs, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
mirandaCPU_0, write_reqs, , Accumulator, 10189494, 0, 100, 100, 100, 1, 1
mirandaCPU_0, custom_reqs, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
mirandaCPU_0, split_read_reqs, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
mirandaCPU_0, split_write_reqs, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
mirandaCPU_0, split_custom_reqs, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
mirandaCPU_0, cycles_with_issue, , Accumulator, 10189494, 0, 100, 100, 100, 1, 1
mirandaCPU_0, cycles_no_issue, , Accumulator, 10189494, 0, 28441, 28441, 28441, 1, 1
mirandaCPU_0, total_bytes_read, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
mirandaCPU_0, total_bytes_write, , Accumulator, 10189494, 0, 800, 6400, 100, 8, 8
mirandaCPU_0, total_bytes_custom, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
mirandaCPU_0, req_latency, , Accumulator, 10189494, 0, 10147, 1199721, 100, 87, 504
mirandaCPU_0, time, , Accumulator, 10189494, 0, 10189, 103815721, 1, 10189, 10189
mirandaCPU_0, cycles_hit_fence, , Accumulator, 10189494, 0, 28541, 28541, 28541, 1, 1
mirandaCPU_0, cycles_max_issue, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
mirandaCPU_0, cycles_max_reorder, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
mirandaCPU_0, cycles, , Accumulator, 10189494, 0, 28542, 28542, 28542, 1, 1
l1_cache_0, default_stat, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetS_I, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetS_S, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetS_M, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetX_I, , Accumulator, 10189494, 0, 100, 100, 100, 1, 1
l1_cache_0, stateEvent_GetX_S, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetX_M, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetSX_I, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetSX_S, , Accumulator, 10189494, 0, 0, 0, 0, 0, 0
